2015/06/01 16:21:41:574  Reconnect delay set to 2. Minimum reconnect interval set to 5
2015/06/01 16:21:41:581  HipChatFileLogger: Creating new log file: log-2015-06-01-1.txt
2015/06/01 16:21:41:921  Showing window: LoginWindowController - orderFront: YES
2015/06/01 16:21:42:026  Updating login form credentials to current stored values
2015/06/01 16:21:42:027  Retrieving password for email: mgoodwin@financeit.io and service: chat.hipchat.com
2015/06/01 16:21:42:087  Retrieving password for email: mgoodwin@financeit.io and service: chat.hipchat.com
2015/06/01 16:21:42:103  Updating login form credentials to current stored values
2015/06/01 16:21:42:103  Connecting with email mgoodwin@financeit.io
2015/06/01 16:21:42:103  Set connectHost to chat-main.hipchat.com
2015/06/01 16:21:42:103  User information set - initiating connection
2015/06/01 16:21:42:104  Connect returned success - waiting for response...
2015/06/01 16:21:42:131  Connecting to IP v4: 54.80.170.97:5222 -- v6: (null):0
2015/06/01 16:21:42:159  -[HipChatApp xmppStreamDidStartNegotiation:] Stream negotiations started
2015/06/01 16:21:42:583  -[HipChatApp xmppStreamDidConnect:] Stream negotiations complete, starting authentication
2015/06/01 16:21:42:583  -[HipChatApp xmppAuthenticationHandler] Authenticating via saved email and password
2015/06/01 16:21:42:663  Hiding window: LoginWindowController
2015/06/01 16:21:42:664  Storing sign in email and password
2015/06/01 16:21:42:664  Storing password for email: mgoodwin@financeit.io and service: chat-main.hipchat.com
2015/06/01 16:21:42:667  Showing window: MainWindowController - orderFront: YES
2015/06/01 16:21:42:836  Loaded cached data from store: /Users/mike/Library/HipChat/mgoodwin@financeit.io/roster-store.json
2015/06/01 16:21:42:839  Loading emoticons from persistent store and adding to Linkify
2015/06/01 16:21:42:889  Loaded cached data from store: /Users/mike/Library/HipChat/mgoodwin@financeit.io/emoticons-store.json
2015/06/01 16:21:42:896  Roster finished loading - populating display names with 80 users
2015/06/01 16:21:42:898  Cached users...marking roster loaded in HipChatApp
2015/06/01 16:21:42:898  Checking fully loaded...
2015/06/01 16:21:42:898  Not yet fully loaded - not triggering fullyLoaded event
2015/06/01 16:21:42:898  Got response for startup info
2015/06/01 16:21:42:898  Received group invite url from startup IQ: https://www.hipchat.com/invite/26161/9ef20028343703da1e2432ac571b163a
2015/06/01 16:21:42:898  Setting current user's name to Michael Goodwin
2015/06/01 16:21:42:898  Push enabled for room_invite? YES
2015/06/01 16:21:42:898  Push enabled for oto_call? YES
2015/06/01 16:21:42:898  Push enabled for group_invite_requested? NO
2015/06/01 16:21:42:898  Push enabled for oto_message? YES
2015/06/01 16:21:42:898  Push enabled for mention? YES
2015/06/01 16:21:42:898  Push enabled for newsletter? NO
2015/06/01 16:21:42:900  Setting shared cookies for auto-login functionality
2015/06/01 16:21:42:900  Checking fully loaded...
2015/06/01 16:21:42:900  Not yet fully loaded - not triggering fullyLoaded event
2015/06/01 16:21:42:900  Loaded enough to run autojoin - calling autoJoinChats
2015/06/01 16:21:42:908  All required data loaded - auto-joining chats
2015/06/01 16:21:42:908  Stored jidToFocus is in autojoin chats - setting as focus: 26161_continue@conf.hipchat.com
2015/06/01 16:21:42:908  Focusing jidToFocus: 26161_continue@conf.hipchat.com
2015/06/01 16:21:42:909  Loading room list and presence data
2015/06/01 16:21:42:932  Loaded cached data from store: /Users/mike/Library/HipChat/mgoodwin@financeit.io/roomList-store.json
2015/06/01 16:21:42:935  Received roomListLoaded event - marking room list loaded
2015/06/01 16:21:42:935  Checking fully loaded...
2015/06/01 16:21:42:935  Not yet fully loaded - not triggering fullyLoaded event
2015/06/01 16:21:42:935  Loaded enough to run autojoin - calling autoJoinChats
2015/06/01 16:21:42:935  doAutoJoin not set - not auto-joining chats
2015/06/01 16:21:42:944  Saved cached data to store: /Users/mike/Library/HipChat/mgoodwin@financeit.io/roster-store.json
2015/06/01 16:21:42:945  Going through 0 early presences
2015/06/01 16:21:42:945  Received roster response - triggering rosterFinishedLoading event
2015/06/01 16:21:42:946  Got roster push - updating roster version and local caches
2015/06/01 16:21:42:946  Removing 26161_894316@chat.hipchat.com from list of chats to auto join
2015/06/01 16:21:42:947  Making API request: save_preferences
2015/06/01 16:21:42:948  Removing 26161_737330@chat.hipchat.com from list of chats to auto join
2015/06/01 16:21:42:948  Removing 26161_192598@chat.hipchat.com from list of chats to auto join
2015/06/01 16:21:42:948  Roster finished loading - populating display names with 77 users
2015/06/01 16:21:42:949  Cached users...marking roster loaded in HipChatApp
2015/06/01 16:21:42:950  Checking fully loaded...
2015/06/01 16:21:42:950  Not yet fully loaded - not triggering fullyLoaded event
2015/06/01 16:21:42:950  Loaded enough to run autojoin - calling autoJoinChats
2015/06/01 16:21:42:950  doAutoJoin not set - not auto-joining chats
2015/06/01 16:21:43:199  Saved cached data to store: /Users/mike/Library/HipChat/mgoodwin@financeit.io/roomList-store.json
2015/06/01 16:21:43:207  Received roomListLoaded event - marking room list loaded
2015/06/01 16:21:43:207  Checking fully loaded...
2015/06/01 16:21:43:207  Not yet fully loaded - not triggering fullyLoaded event
2015/06/01 16:21:43:207  Loaded enough to run autojoin - calling autoJoinChats
2015/06/01 16:21:43:207  doAutoJoin not set - not auto-joining chats
2015/06/01 16:21:43:218  Received presence response - triggering presenceFinishedLoading event
