2015/04/11 16:56:55:400  [26161_github@conf.hipchat.com] Received presence from 26161_github@conf.hipchat.com/Konstantin Zub
2015/04/11 16:56:55:401  [26161_continue@conf.hipchat.com] Received presence from 26161_continue@conf.hipchat.com/Konstantin Zub
2015/04/11 16:56:55:401  [26161_communitylend@conf.hipchat.com] Received presence from 26161_communitylend@conf.hipchat.com/Konstantin Zub
2015/04/11 16:56:55:417  HipChatFileLogger: Creating new log file: log-2015-04-11-1.txt
2015/04/11 17:31:27:745  App activated - ordering primary window to the front.
2015/04/11 17:31:27:771  Clearing unread count for jid: 26161_rollbar@conf.hipchat.com
2015/04/11 17:31:27:772  Focusing current chat input
2015/04/11 17:31:27:773  Focusing current chat input
2015/04/11 17:36:33:001  XMPPReconnect onAppSleep:
2015/04/11 17:36:33:006  Making API request: save_preferences
2015/04/11 18:32:20:667  XMPPReconnect onAppWake:
2015/04/11 18:32:25:863  XMPP Disconnected with error: Error Domain=GCDAsyncSocketErrorDomain Code=7 "Socket closed by remote peer" UserInfo=0x6000000797c0 {NSLocalizedDescription=Socket closed by remote peer}
2015/04/11 18:32:25:864  Sending connect failed notice with code: 11 -- doReconnect: 1 -- msg: Failed to connect to the HipChat server
2015/04/11 18:32:25:864  Deinitializing ChatViewController: 26161_github@conf.hipchat.com
2015/04/11 18:32:25:864  Detected accidental disconnect
2015/04/11 18:32:25:864  [26161_github@conf.hipchat.com] Deinitializing chat
2015/04/11 18:32:25:864  Deinitializing ChatViewController
2015/04/11 18:32:25:864  Deinitializing ChatViewController: 26161_communitylend@conf.hipchat.com
2015/04/11 18:32:25:865  [26161_communitylend@conf.hipchat.com] Deinitializing chat
2015/04/11 18:32:25:865  Deinitializing ChatViewController
2015/04/11 18:32:25:865  Deinitializing ChatViewController: 26161_updates@conf.hipchat.com
2015/04/11 18:32:25:865  [26161_updates@conf.hipchat.com] Deinitializing chat
2015/04/11 18:32:25:865  Deinitializing ChatViewController
2015/04/11 18:32:25:865  Deinitializing ChatViewController: 26161_rollbar@conf.hipchat.com
2015/04/11 18:32:25:865  [26161_rollbar@conf.hipchat.com] Deinitializing chat
2015/04/11 18:32:25:865  Deinitializing ChatViewController
2015/04/11 18:32:25:865  Deinitializing ChatViewController: 26161_continue@conf.hipchat.com
2015/04/11 18:32:25:865  [26161_continue@conf.hipchat.com] Deinitializing chat
2015/04/11 18:32:25:865  Deinitializing ChatViewController
2015/04/11 18:32:25:865  Multicasting hipchatAppDisconnected
2015/04/11 18:32:25:866  Showing flash message to user: <div><h3>Unable to connect</h3></br>Failed to connect to the HipChat server. <a href='action:reconnect'>Reconnect now.</a></div>
2015/04/11 18:32:25:866  Deinitializing ChatViewController
2015/04/11 18:32:25:866  Deinitializing ChatViewController
2015/04/11 18:32:25:866  Deinitializing ChatViewController
2015/04/11 18:32:25:866  Deinitializing ChatViewController
2015/04/11 18:32:25:866  Deinitializing ChatViewController
2015/04/11 18:32:25:866  Multicasting hipchatAppDisconnected
2015/04/11 18:32:25:972  Reachability flags: 0
2015/04/11 18:32:25:972  host is unreachable, returning NO for shouldAttemptReconnect
2015/04/11 18:32:25:973  Reachability flags: 0
2015/04/11 18:32:25:973  host is unreachable, returning NO for shouldAttemptReconnect
2015/04/11 18:32:26:055  Reachability flags: 2
2015/04/11 18:32:26:055  AutoReconnect - Returning YES for shouldAttemptReconnect
2015/04/11 18:32:26:467  Connecting to IP v4: 54.196.194.24:5222 -- v6: (null):0
2015/04/11 18:32:26:509  -[HipChatApp xmppStreamDidStartNegotiation:] Stream negotiations started
2015/04/11 18:32:26:645  Got XMPP Error: system-shutdown
